videoid,videoname,channelid,channelname,views,comments,likes,dislikes,adtype,advertiser,adfullurl,datecollected,dateuploaded,uploadts,testid,dataset
ouZX-sNKpG0,,,,,,,,,,,1632409398,,,20210923145902,cur
7MnggBRfPs8,,,,,,,,,,,1632409426,,,20210923145902,cur
23cxTUgAPHo,,,,,,,,,,,1632409430,,,20210923145902,cur
lDv20v-jKQ0,,,,,,,,,,,1632409459,,,20210923145902,cur
4Q1kd2z_8m4,,,,,,,,,,,1632409475,,,20210923145902,cur
gL5FkenAAqY,,,,,,,,,,,1632409478,,,20210923145902,cur
0u5mXFMeQms,,,,,,,,,,,1632409482,,,20210923145902,cur
1yO6A9PeIJk,,,,,,,,,,,1632409486,,,20210923145902,cur
255y1-86pyk,,,,,,,,,,,1632409625,,,20210923145902,cur
UqA-2gztTKI,,,,,,,,,,,1632409671,,,20210923145902,cur
46yQ40s6x9k,,,,,,,,,,,1632409675,,,20210923145902,cur
aE7eJDJfjLw,,,,,,,,,,,1632409692,,,20210923145902,cur
0igaPvL7Ttc,,,,,,,,,,,1632409695,,,20210923145902,cur
1j4HSh7ajx0,,,,,,,,,,,1632409713,,,20210923145902,cur
CbaOJtMpaCI,,,,,,,,,,,1632409716,,,20210923145902,cur
n9iMyBuJP6g,,,,,,,,,,,1632409719,,,20210923145902,cur
8QB2N2Yi89U,,,,,,,,,,,1632409723,,,20210923145902,cur
2v1ylz33iLI,,,,,,,,,,,1632409767,,,20210923145902,cur
4c4qD8a-tBY,,,,,,,,,,,1632409770,,,20210923145902,cur
4lwNtQhmoPw,,,,,,,,,,,1632409774,,,20210923145902,cur
-v-VXMinyuk,,,,,,,,,,,1632409778,,,20210923145902,cur
2hY_lH8KJAs,,,,,,,,,,,1632409794,,,20210923145902,cur
-WMNx7IBO0I,,,,,,,,,,,1632409797,,,20210923145902,cur
icQZju-cfME,,,,,,,,,,,1632409807,,,20210923145902,cur
CtCnM2gR5R0,,,,,,,,,,,1632409823,,,20210923145902,cur
33ewlP3pweU,,,,,,,,,,,1632409826,,,20210923145902,cur
AgMoLFPrI-s,,,,,,,,,,,1632409961,,,20210923145902,cur
1GrB3OO0SxQ,,,,,,,,,,,1632409983,,,20210923145902,cur
GaZYt0FaGEI,,,,,,,,,,,1632410000,,,20210923145902,cur
-9xgYxaVZto,,,,,,,,,,,1632410003,,,20210923145902,cur
0_UDNf-TNIE,,,,,,,,,,,1632410007,,,20210923145902,cur
2mv0FE6-S9E,,,,,,,,,,,1632410010,,,20210923145902,cur
1MtoUfpoUV0,,,,,,,,,,,1632410014,,,20210923145902,cur
-NSSQpuBK98,,,,,,,,,,,1632410024,,,20210923145902,cur
3Zd2b1rvysE,,,,,,,,,,,1632410027,,,20210923145902,cur
98gcDlferQM,,,,,,,,,,,1632410048,,,20210923145902,cur
-JTPfUZ5cAI,,,,,,,,,,,1632410065,,,20210923145902,cur
AAcRXEAW1hA,,,,,,,,,,,1632410068,,,20210923145902,cur
AiKnvEBQXCE,,,,,,,,,,,1632410097,,,20210923145902,cur
9cBm59UbECg,,,,,,,,,,,1632410113,,,20210923145902,cur
-KFtzcIGTFc,,,,,,,,,,,1632410182,,,20210923145902,cur
4goVi2akpec,,,,,,,,,,,1632410224,,,20210923145902,cur
7XxryEgiWWk,,,,,,,,,,,1632410291,,,20210923145902,cur
AVIhQ7y0zZY,,,,,,,,,,,1632410321,,,20210923145902,cur
9eacnfUnx1U,,,,,,,,,,,1632410324,,,20210923145902,cur
2QICDGNg1Sw,,,,,,,,,,,1632410327,,,20210923145902,cur
-KEqQW__00Q,,,,,,,,,,,1632410369,,,20210923145902,cur
L5Os0RXOgng,,,,,,,,,,,1632410372,,,20210923145902,cur
rAnD4g1ZlA0,,,,,,,,,,,1632410430,,,20210923145902,cur
IY8KAynWhBA,,,,,,,,,,,1632410433,,,20210923145902,cur
9ThIXT5TfXw,,,,,,,,,,,1632410437,,,20210923145902,cur
2Imvydi1poE,,,,,,,,,,,1632410441,,,20210923145902,cur
4FRz4vyOyBc,,,,,,,,,,,1632410457,,,20210923145902,cur
AodWtU-I6UI,,,,,,,,,,,1632410460,,,20210923145902,cur
I3S-meOgFek,,,,,,,,,,,1632410477,,,20210923145902,cur
H1cGBmTOjA0,,,,,,,,,,,1632410480,,,20210923145902,cur
Pbx8AjfGNxY,,,,,,,,,,,1632410509,,,20210923145902,cur
cLTulqxWbhQ,,,,,,,,,,,1632410525,,,20210923145902,cur
18maJpHJOiE,,,,,,,,,,,1632410529,,,20210923145902,cur
BYJ0i-cVZMI,,,,,,,,,,,1632410558,,,20210923145902,cur
kqGYQjiJapo,,,,,,,,,,,1632410625,,,20210923145902,cur
g-5Q4H2Eg84,,,,,,,,,,,1632410641,,,20210923145902,cur
sfhU-lY6Ucw,,,,,,,,,,,1632410644,,,20210923145902,cur
MW7T5Dh2rwA,,,,,,,,,,,1632410673,,,20210923145902,cur
0YfDwvWcUsM,,,,,,,,,,,1632410702,,,20210923145902,cur
8tugdqQOW9Y,,,,,,,,,,,1632410719,,,20210923145902,cur
duf5FHIQ6tQ,,,,,,,,,,,1632410722,,,20210923145902,cur
2e1xfPnt-w4,,,,,,,,,,,1632410804,,,20210923145902,cur
StZeZ0wKZ9k,,,,,,,,,,,1632410820,,,20210923145902,cur
hb4gqzoYEAE,,,,,,,,,,,1632410875,,,20210923145902,cur
9JsYJsWHmkw,,,,,,,,,,,1632410907,,,20210923145902,cur
2qYDDUVeq_8,,,,,,,,,,,1632410954,,,20210923145902,cur
-hFCA7l-1Xw,,,,,,,,,,,1632410982,,,20210923145902,cur
-IGTIGw-_CM,,,,,,,,,,,1632410986,,,20210923145902,cur
D35oS9UAIk0,,,,,,,,,,,1632411003,,,20210923145902,cur
4RF292A7a14,,,,,,,,,,,1632411022,,,20210923145902,cur
NvbXwZs8_UU,,,,,,,,,,,1632411025,,,20210923145902,cur
QAUyYawyyaY,,,,,,,,,,,1632411029,,,20210923145902,cur
C4WdMGy9auM,,,,,,,,,,,1632411033,,,20210923145902,cur
to7v8Ndz5Dk,,,,,,,,,,,1632411052,,,20210923145902,cur
2XY3Rrkftqg,,,,,,,,,,,1632411055,,,20210923145902,cur
jByh281hqcs,,,,,,,,,,,1632411058,,,20210923145902,cur
L6h5Y51G8Xw,,,,,,,,,,,1632411075,,,20210923145902,cur
N9s5CrFFEWM,,,,,,,,,,,1632411079,,,20210923145902,cur
2nmdmM172OU,,,,,,,,,,,1632411082,,,20210923145902,cur
1d7ZtRq4uL4,,,,,,,,,,,1632411086,,,20210923145902,cur
_pWfxRRCsfw,,,,,,,,,,,1632411089,,,20210923145902,cur
4EimCCTmN_4,,,,,,,,,,,1632411135,,,20210923145902,cur
bcp1OeOD9og,,,,,,,,,,,1632411138,,,20210923145902,cur
-6yJ4pVaB80,,,,,,,,,,,1632411208,,,20210923145902,cur
j5ziP63lAy8,,,,,,,,,,,1632411227,,,20210923145902,cur
JfN8yq2PMms,,,,,,,,,,,1632411243,,,20210923145902,cur
1z6VfcvMVig,,,,,,,,,,,1632411247,,,20210923145902,cur
6Z95uG2UjR0,,,,,,,,,,,1632411250,,,20210923145902,cur
0ad-2d9g5CE,,,,,,,,,,,1632411254,,,20210923145902,cur
5FLA2IGMvTA,,,,,,,,,,,1632411283,,,20210923145902,cur
-1tkY_ilZmU,,,,,,,,,,,1632411330,,,20210923145902,cur
bKgoUjNhF6c,,,,,,,,,,,1632411333,,,20210923145902,cur
8DPPBY4SeHM,,,,,,,,,,,1632411337,,,20210923145902,cur
A1cBPGmRDFU,,,,,,,,,,,1632411341,,,20210923145902,cur
oNwOvV6eLwU,,,,,,,,,,,1632411344,,,20210923145902,cur
9zQ14ZjDpFE,,,,,,,,,,,1632412785,,,20210923155902,cur
HheZi22IHB0,,,,,,,,,,,1632412841,,,20210923155902,cur
rS1UCCouLgk,,,,,,,,,,,1632412858,,,20210923155902,cur
4gEuLBxhI7A,,,,,,,,,,,1632412861,,,20210923155902,cur
eA9rOAVDtFg,,,,,,,,,,,1632412917,,,20210923155902,cur
Gp8gB4gOx48,,,,,,,,,,,1632412971,,,20210923155902,cur
eSxWQr5sPog,,,,,,,,,,,1632412995,,,20210923155902,cur
BDAu9fRpMDs,,,,,,,,,,,1632413011,,,20210923155902,cur
35PwlmsCggI,,,,,,,,,,,1632413053,,,20210923155902,cur
77QdVMH_Lrs,,,,,,,,,,,1632413056,,,20210923155902,cur
LNv0baGIDTU,,,,,,,,,,,1632413060,,,20210923155902,cur
nyAbT0SOx0A,,,,,,,,,,,1632413078,,,20210923155902,cur
1Om_QhMLUxo,,,,,,,,,,,1632413093,,,20210923155902,cur
n_fEZQ6Ww3Y,,,,,,,,,,,1632413109,,,20210923155902,cur
dAGWNRA54kM,,,,,,,,,,,1632413125,,,20210923155902,cur
4q4_nRsAJxc,,,,,,,,,,,1632413128,,,20210923155902,cur
ubAHxh_mzYc,,,,,,,,,,,1632413132,,,20210923155902,cur
62RuEWP1SUw,,,,,,,,,,,1632413136,,,20210923155902,cur
Ikk4n0Zcay4,,,,,,,,,,,1632413139,,,20210923155902,cur
ld1LYpsYrMQ,,,,,,,,,,,1632413143,,,20210923155902,cur
B3iQRWiJ4lM,,,,,,,,,,,1632413146,,,20210923155902,cur
SUHeA6kazAA,,,,,,,,,,,1632413150,,,20210923155902,cur
AGkB_FiUQ-M,,,,,,,,,,,1632413166,,,20210923155902,cur
NAN7y2eyogU,,,,,,,,,,,1632413169,,,20210923155902,cur
