videoid,videoname,channelid,channelname,views,comments,likes,dislikes,adtype,advertiser,adfullurl,datecollected,dateuploaded,uploadts,testid,dataset
1hEx1WwftPg,,,,,,,,,,,1632309893,,,20210922105901,cur
78OnfjQdv60,,,,,,,,,,,1632309923,,,20210922105901,cur
8gn0siM6RoA,,,,,,,,,,,1632309965,,,20210922105901,cur
F6awI-vBd4E,,,,,,,,,,,1632310045,,,20210922105901,cur
ARLFkByf-RY,,,,,,,,,,,1632310048,,,20210922105901,cur
4gqr2bzJjds,,,,,,,,,,,1632310140,,,20210922105901,cur
eTD51TdDXSo,,,,,,,,,,,1632310143,,,20210922105901,cur
DHKJmnmYplI,,,,,,,,,,,1632310147,,,20210922105901,cur
h8IqoAfw2Vc,,,,,,,,,,,1632310164,,,20210922105901,cur
lTJOJMcQDW8,,,,,,,,,,,1632310180,,,20210922105901,cur
0BO17-9Bmx8,,,,,,,,,,,1632310212,,,20210922105901,cur
844tw7Y1VoM,,,,,,,,,,,1632310215,,,20210922105901,cur
tbm78IbN430,,,,,,,,,,,1632310219,,,20210922105901,cur
8lh-HGcXE1Q,,,,,,,,,,,1632310222,,,20210922105901,cur
iVhyVJg18MM,,,,,,,,,,,1632310245,,,20210922105901,cur
bA6VGQkVms4,,,,,,,,,,,1632310277,,,20210922105901,cur
YKwz9QGxlkE,,,,,,,,,,,1632310323,,,20210922105901,cur
Jund-nbhV2E,,,,,,,,,,,1632310326,,,20210922105901,cur
dS4d7nWd7Xc,,,,,,,,,,,1632310343,,,20210922105901,cur
lPhnn8w1XhA,,,,,,,,,,,1632310371,,,20210922105901,cur
6MhhPSBMmX8,,,,,,,,,,,1632310380,,,20210922105901,cur
wuGdVhqaGKM,,,,,,,,,,,1632310396,,,20210922105901,cur
9wQ1UznICGI,,,,,,,,,,,1632310412,,,20210922105901,cur
OX6ThIk9Dzk,,,,,,,,,,,1632310440,,,20210922105901,cur
-qKVoS-_y9c,,,,,,,,,,,1632310472,,,20210922105901,cur
-0iB6Ju63pU,,,,,,,,,,,1632310475,,,20210922105901,cur
UUsRy-i01Bs,,,,,,,,,,,1632310505,,,20210922105901,cur
6A1Y8EBVP0g,,,,,,,,,,,1632310521,,,20210922105901,cur
asmj8baqOVU,,,,,,,,,,,1632310552,,,20210922105901,cur
2-0pUh1tcLI,,,,,,,,,,,1632310555,,,20210922105901,cur
1HSFo4VYLIY,,,,,,,,,,,1632310584,,,20210922105901,cur
WswpLl3CFy4,,,,,,,,,,,1632311953,,,20210922115901,cur
8yu_4XZyYL4,,,,,,,,,,,1632311956,,,20210922115901,cur
22DZK4BX13s,,,,,,,,,,,1632311959,,,20210922115901,cur
2MGXePjIzXE,,,,,,,,,,,1632311963,,,20210922115901,cur
2V2LryLph-4,,,,,,,,,,,1632311966,,,20210922115901,cur
2e1xfPnt-w4,,,,,,,,,,,1632311995,,,20210922115901,cur
08qmJaVBNWA,,,,,,,,,,,1632312024,,,20210922115901,cur
b7SiNcKUHzQ,,,,,,,,,,,1632312063,,,20210922115901,cur
-zoHiCmkOoQ,,,,,,,,,,,1632312095,,,20210922115901,cur
OAtSJBypiZ8,,,,,,,,,,,1632312124,,,20210922115901,cur
Q8iblmaW2TI,,,,,,,,,,,1632312127,,,20210922115901,cur
7wp6M1DLjJ4,,,,,,,,,,,1632312131,,,20210922115901,cur
aKGw77Db4-s,,,,,,,,,,,1632312134,,,20210922115901,cur
bwZl_dvDuKQ,,,,,,,,,,,1632312147,,,20210922115901,cur
8EAhTWzy6Iw,,,,,,,,,,,1632312164,,,20210922115901,cur
3K5u_gwLPic,,,,,,,,,,,1632312196,,,20210922115901,cur
6hhm_x-6Tjg,,,,,,,,,,,1632312199,,,20210922115901,cur
zQHHuGfCX3o,,,,,,,,,,,1632312203,,,20210922115901,cur
agDcyE5F3-s,,,,,,,,,,,1632312206,,,20210922115901,cur
dRveDH-cvH4,,,,,,,,,,,1632312210,,,20210922115901,cur
CLqM50dOkCI,,,,,,,,,,,1632312228,,,20210922115901,cur
52v-ueam-jo,,,,,,,,,,,1632312259,,,20210922115901,cur
Ettn0bEmXQ8,,,,,,,,,,,1632333627,,,20210922175901,cur
AhRNQ7IzfZo,,,,,,,,,,,1632333631,,,20210922175901,cur
22OMG5RxR_Q,,,,,,,,,,,1632333634,,,20210922175901,cur
cBoTwYNFDjA,,,,,,,,,,,1632333651,,,20210922175901,cur
bVlDVlzlVao,,,,,,,,,,,1632333756,,,20210922175901,cur
5j33jOcfFXY,,,,,,,,,,,1632333772,,,20210922175901,cur
on-Xa0CO0pg,,,,,,,,,,,1632333788,,,20210922175901,cur
jIgamgKmDmI,,,,,,,,,,,1632333806,,,20210922175901,cur
1fB8YNqsWSs,,,,,,,,,,,1632333822,,,20210922175901,cur
3DuGIJZHWDw,,,,,,,,,,,1632333838,,,20210922175901,cur
cKDgBKnO3dU,,,,,,,,,,,1632333860,,,20210922175901,cur
_XuwctePM9M,,,,,,,,,,,1632333877,,,20210922175901,cur
AlCx4-TG924,,,,,,,,,,,1632333909,,,20210922175901,cur
-C0uzOl7vuo,,,,,,,,,,,1632333939,,,20210922175901,cur
uWrT0wFzzXs,,,,,,,,,,,1632333955,,,20210922175901,cur
HgSmCAVuFpg,,,,,,,,,,,1632333958,,,20210922175901,cur
2HP7H_qwFec,,,,,,,,,,,1632334001,,,20210922175901,cur
-LwcW7B26I4,,,,,,,,,,,1632334004,,,20210922175901,cur
RGT-T7UY-Jw,,,,,,,,,,,1632334037,,,20210922175901,cur
Ai8VsigBwu4,,,,,,,,,,,1632334053,,,20210922175901,cur
jCm4URnexM0,,,,,,,,,,,1632334056,,,20210922175901,cur
